tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,1.500000000000056843e-03
1.000000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
1.100000000000000000e+01,1.000000000000000000e+00,3.999999999999915082e-03
1.200000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.300000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.400000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.500000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.600000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.700000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.800000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.900000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.000000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.100000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.200000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.300000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.400000000000000000e+01,1.000000000000000000e+00,1.050000000000004229e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.274999999999995061e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.775000000000002270e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.249999999999996447e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.074999999999995598e-02
3.800000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
4.000000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
4.100000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
4.200000000000000000e+01,1.000000000000000000e+00,3.049999999999997158e-02
4.300000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
4.400000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
4.500000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
4.600000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
4.700000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
4.800000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
4.900000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.000000000000000000e+01,1.000000000000000000e+00,3.375000000000003691e-02
5.100000000000000000e+01,1.000000000000000000e+00,3.849999999999997868e-02
5.200000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
5.300000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
5.400000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
5.500000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
5.600000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
5.700000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
5.800000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
5.900000000000000000e+01,1.000000000000000000e+00,4.424999999999990052e-02
6.000000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
6.100000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
6.200000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
6.300000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
6.400000000000000000e+01,1.000000000000000000e+00,4.975000000000005113e-02
6.500000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
6.600000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
6.700000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
6.800000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
6.900000000000000000e+01,1.000000000000000000e+00,6.274999999999994471e-02
7.000000000000000000e+01,1.000000000000000000e+00,6.425000000000000155e-02
7.100000000000000000e+01,1.000000000000000000e+00,6.425000000000000155e-02
7.200000000000000000e+01,1.000000000000000000e+00,6.425000000000000155e-02
7.300000000000000000e+01,1.000000000000000000e+00,6.425000000000000155e-02
7.400000000000000000e+01,1.000000000000000000e+00,6.425000000000000155e-02
7.500000000000000000e+01,1.000000000000000000e+00,6.349999999999997313e-02
7.600000000000000000e+01,1.000000000000000000e+00,6.425000000000000155e-02
7.700000000000000000e+01,1.000000000000000000e+00,6.425000000000000155e-02
7.800000000000000000e+01,1.000000000000000000e+00,6.524999999999998856e-02
7.900000000000000000e+01,1.000000000000000000e+00,6.524999999999998856e-02
8.000000000000000000e+01,1.000000000000000000e+00,6.850000000000004696e-02
8.100000000000000000e+01,1.000000000000000000e+00,7.149999999999998024e-02
8.200000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
8.300000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
8.400000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
8.500000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
8.600000000000000000e+01,1.000000000000000000e+00,7.324999999999999567e-02
8.700000000000000000e+01,1.000000000000000000e+00,7.475000000000005251e-02
8.800000000000000000e+01,1.000000000000000000e+00,7.575000000000002565e-02
8.900000000000000000e+01,1.000000000000000000e+00,7.974999999999994593e-02
9.000000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
9.100000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
9.200000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
9.300000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
9.400000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
9.500000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
9.600000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
9.700000000000000000e+01,1.000000000000000000e+00,8.599999999999993761e-02
9.800000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
9.900000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
1.000000000000000000e+02,1.000000000000000000e+00,8.849999999999998146e-02
1.010000000000000000e+02,1.000000000000000000e+00,8.925000000000000988e-02
1.020000000000000000e+02,1.000000000000000000e+00,9.250000000000006828e-02
1.030000000000000000e+02,1.000000000000000000e+00,9.649999999999998856e-02
1.040000000000000000e+02,1.000000000000000000e+00,9.649999999999998856e-02
