tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.249999999999907456e-03
2.000000000000000000e+00,1.000000000000000000e+00,5.499999999999971925e-03
3.000000000000000000e+00,1.000000000000000000e+00,5.499999999999971925e-03
4.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
5.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
6.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
7.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
8.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
9.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
1.000000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
1.100000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.200000000000000000e+01,1.000000000000000000e+00,9.499999999999887007e-03
1.300000000000000000e+01,1.000000000000000000e+00,1.124999999999989377e-02
1.400000000000000000e+01,1.000000000000000000e+00,1.274999999999995061e-02
1.500000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
1.600000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
1.700000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
1.800000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
1.900000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
2.000000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
2.200000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
2.300000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
