tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
2.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
3.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
4.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
5.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
6.000000000000000000e+00,1.000000000000000000e+00,3.250000000000064036e-03
7.000000000000000000e+00,1.000000000000000000e+00,9.750000000000013864e-03
8.000000000000000000e+00,1.000000000000000000e+00,9.750000000000013864e-03
9.000000000000000000e+00,1.000000000000000000e+00,1.275000000000012755e-02
1.000000000000000000e+01,1.000000000000000000e+00,1.275000000000012755e-02
1.100000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
1.200000000000000000e+01,1.000000000000000000e+00,1.050000000000004229e-02
1.300000000000000000e+01,1.000000000000000000e+00,1.200000000000009913e-02
1.400000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
1.500000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
1.600000000000000000e+01,1.000000000000000000e+00,1.699999999999999428e-02
1.700000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
1.800000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
1.900000000000000000e+01,1.000000000000000000e+00,2.324999999999999289e-02
2.000000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
2.100000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
2.200000000000000000e+01,1.000000000000000000e+00,3.150000000000012512e-02
2.300000000000000000e+01,1.000000000000000000e+00,3.150000000000012512e-02
2.400000000000000000e+01,1.000000000000000000e+00,3.875000000000010381e-02
2.500000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
2.600000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
2.700000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
2.800000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
2.900000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
3.000000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
3.100000000000000000e+01,1.000000000000000000e+00,4.175000000000004402e-02
3.200000000000000000e+01,1.000000000000000000e+00,4.749999999999996586e-02
3.300000000000000000e+01,1.000000000000000000e+00,4.749999999999996586e-02
3.400000000000000000e+01,1.000000000000000000e+00,4.749999999999996586e-02
3.500000000000000000e+01,1.000000000000000000e+00,4.749999999999996586e-02
3.600000000000000000e+01,1.000000000000000000e+00,4.749999999999996586e-02
3.700000000000000000e+01,1.000000000000000000e+00,5.400000000000008959e-02
3.800000000000000000e+01,1.000000000000000000e+00,5.549999999999997297e-02
3.900000000000000000e+01,1.000000000000000000e+00,5.549999999999997297e-02
4.000000000000000000e+01,1.000000000000000000e+00,5.549999999999997297e-02
4.100000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
4.200000000000000000e+01,1.000000000000000000e+00,6.125000000000006828e-02
4.300000000000000000e+01,1.000000000000000000e+00,6.675000000000004541e-02
4.400000000000000000e+01,1.000000000000000000e+00,7.175000000000011924e-02
4.500000000000000000e+01,1.000000000000000000e+00,7.175000000000011924e-02
4.600000000000000000e+01,1.000000000000000000e+00,7.825000000000006950e-02
4.700000000000000000e+01,1.000000000000000000e+00,7.975000000000012634e-02
4.800000000000000000e+01,1.000000000000000000e+00,7.975000000000012634e-02
4.900000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
5.000000000000000000e+01,1.000000000000000000e+00,8.775000000000013345e-02
5.100000000000000000e+01,1.000000000000000000e+00,8.775000000000013345e-02
5.200000000000000000e+01,1.000000000000000000e+00,8.775000000000013345e-02
5.300000000000000000e+01,1.000000000000000000e+00,9.024999999999998301e-02
5.400000000000000000e+01,1.000000000000000000e+00,9.574999999999996014e-02
5.500000000000000000e+01,1.000000000000000000e+00,9.574999999999996014e-02
5.600000000000000000e+01,1.000000000000000000e+00,9.824999999999999012e-02
5.700000000000000000e+01,1.000000000000000000e+00,1.040000000000000924e-01
