<<<<<<< HEAD
t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,4.957999999999999829e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,4.960999999999999943e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,4.971000000000000085e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,4.984000000000000341e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,4.989999999999999858e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,4.989999999999999858e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,4.971000000000000085e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,4.977000000000000313e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,4.960999999999999943e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,4.989999999999999858e+01,5.000000000000000000e+01
1.000000000000000000e+01,3.000000000000000000e+01,4.989999999999999858e+01,5.000000000000000000e+01
1.100000000000000000e+01,3.000000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,5.013000000000000256e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,5.015999999999999659e+01,5.000000000000000000e+01
=======
t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,4.957999999999999829e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,4.960999999999999943e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,4.971000000000000085e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,4.984000000000000341e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,4.989999999999999858e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,4.989999999999999858e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,4.971000000000000085e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,4.977000000000000313e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,4.960999999999999943e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,4.989999999999999858e+01,5.000000000000000000e+01
1.000000000000000000e+01,3.000000000000000000e+01,4.989999999999999858e+01,5.000000000000000000e+01
1.100000000000000000e+01,3.000000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,5.013000000000000256e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,5.015999999999999659e+01,5.000000000000000000e+01
>>>>>>> origin/main
